;3 min;15 min;30 min;47 min;57 min;70 min;76 min;88 min;Final;Blanco
Long.de onda (nm); Abs; Abs;Abs;Abs;Abs;Abs;Abs;Abs; Abs;Abs
641.0023804;1.385088325;1.10223639;0.6468499303;0.507521987;0.4745010138;0.448197037;0.4298459888;0.4007441103;0.263746798;1.54724133
640.0128784;1.394897699;1.106287122;0.6465982199;0.5058738589;0.4753834903;0.4485950172;0.4300692677;0.4016390443;0.2676553726;1.57152319
638.9863281;1.38499105;1.099304199;0.647187531;0.5061579943;0.4767219126;0.4491842687;0.4295364618;0.4025533795;0.2715339661;1.549517274
637.9962158;1.387313366;1.097301006;0.6469529867;0.5090582371;0.4777742922;0.4494462311;0.4314849973;0.4021003246;0.2779034972;1.564183116
637.0057983;1.381096959;1.107799292;0.6474598646;0.5099650621;0.477565527;0.4514659345;0.4338435233;0.402915597;0.2820613384;1.556414843
636.0151367;1.392417669;1.106580019;0.6484666467;0.5100795627;0.4778496623;0.4514691234;0.4331032634;0.4040823281;0.2862166464;1.560409665
634.9874878;1.388403535;1.102657557;0.649179101;0.5109892488;0.4794932902;0.4517083764;0.4332914352;0.4051068723;0.2906708121;1.562014103
633.9962158;1.395511746;1.108276725;0.6468736529;0.5113083124;0.4804591238;0.453405261;0.4355244637;0.4058937728;0.2957169712;1.559272885
633.0046997;1.394089699;1.102452755;0.6506569982;0.5136116147;0.4805091918;0.4520398974;0.4347223341;0.4066700637;0.2995826006;1.561981082
632.0128784;1.388491988;1.107722282;0.6504428387;0.5132012367;0.4807447195;0.4536285996;0.4353013933;0.4064088166;0.3057387173;1.557012439
630.9840088;1.392156482;1.111264348;0.6521323919;0.5138712525;0.4828533232;0.4540619552;0.4362886548;0.407776624;0.3110845983;1.558216333
629.9916382;1.389625549;1.115278721;0.6512447596;0.5135645866;0.4835033417;0.4558194578;0.4380654693;0.4084706604;0.3149526417;1.563837051
628.9990234;1.401529312;1.107281208;0.6535857916;0.5139183998;0.4836521149;0.4566739798;0.4368796647;0.4100979865;0.321901381;1.563943863
628.0060425;1.391901612;1.107182384;0.6551038623;0.515155673;0.4840666056;0.4569708109;0.438642323;0.4113486111;0.3270644248;1.56345129
627.0128784;1.388018966;1.107911229;0.6562134624;0.5151064396;0.4853359461;0.4579013884;0.4381125271;0.4127333164;0.3324535191;1.561765313
625.982605;1.396877885;1.109496355;0.6582091451;0.5177200437;0.4864875376;0.4589988589;0.4396471977;0.4111732543;0.3383601904;1.553542852
624.9887695;1.390792608;1.103432178;0.657176733;0.5188044906;0.4872144163;0.4599734545;0.4411684275;0.4129267931;0.3455024064;1.54989481
623.994812;1.391088009;1.110227108;0.6560236812;0.5179678202;0.4873452187;0.4594420791;0.4430772066;0.413467288;0.3511919975;1.566422701
623.0004883;1.39434731;1.116056919;0.6563737988;0.5199132562;0.4878806472;0.4611318707;0.4426516294;0.4149993658;0.3566509485;1.538695335
622.0059204;1.390906453;1.105623484;0.6582920551;0.5200871825;0.4885617197;0.461250931;0.4426028132;0.4144223332;0.3630838096;1.555109382
621.0109863;1.397301912;1.108615637;0.6596542001;0.5188758373;0.488370955;0.4631924629;0.4434013963;0.4166012704;0.3693834543;1.554942012
620.0159302;1.397249579;1.112444758;0.6596308351;0.5214551091;0.4903067946;0.4633423984;0.4449823797;0.4168795049;0.3769616485;1.561565638
618.9835815;1.391741991;1.112129092;0.6597446203;0.5222092867;0.4914523959;0.4641057253;0.4451526999;0.4178847075;0.3832363188;1.566238642
617.987854;1.384892702;1.115211725;0.6595422029;0.5228410363;0.4902363718;0.4636780322;0.4471427202;0.4184688926;0.3904150128;1.544110298
616.9919434;1.391802192;1.109912515;0.6599772573;0.524118185;0.4926236868;0.4643709958;0.4468818903;0.4185845554;0.3960976005;1.555977106
615.9957275;1.3892802;1.116350412;0.6614575982;0.523740232;0.4923131466;0.4655919969;0.447332263;0.4190322757;0.4036751091;1.562208891
