muestra1; ; 3min; ; 
Long.de onda (nm); Abs; Long.de onda (nm); Abs; 
366.0163269; 0.4999731183; 366.0163269; 1.373991966; 
365.0059814; 0.4952120483; 365.0059814; 1.387895584; 
363.9955139; 0.4888097644; 363.9955139; 1.38833952; 
362.9848633; 0.4835684299; 362.9848633; 1.389586806; 
362.01297; 0.4785577357; 362.01297; 1.392907619; 
361.0020752; 0.4723063409; 361.0020752; 1.393481851; 
359.9909668; 0.4664112628; 359.9909668; 1.3887707; 
359.0186768; 0.4616916776; 359.0186768; 1.396949172; 
358.0073547; 0.4539988637; 358.0073547; 1.400506496; 
356.9958191; 0.4486621022; 356.9958191; 1.400875688; 
355.9841614; 0.4423380494; 355.9841614; 1.397709846; 
355.0112915; 0.4368669391; 355.0112915; 1.400877357; 
353.9993591; 0.4316399992; 353.9993591; 1.396142364; 
352.9872742; 0.4237295389; 352.9872742; 1.40391016; 
352.0140076; 0.4197671115; 352.0140076; 1.404652715; 
351.0016479; 0.4145562053; 351.0016479; 1.404392242; 
349.9891663; 0.4097501636; 349.9891663; 1.399944901; 

